,stop_words
0,covid
1,19
2,95
3,ci
4,cov
5,sras
6,sars
7,coronavirus
8,2019
9,analyze
10,article
11,articles
12,process
13,tools
14,novel
15,evaluated
16,focused
17,conclusion
18,conclusions
19,derived
20,process
21,found
22,mechanisms
23,indicate
24,indicates
25,outbreaks
26,outbreak
27,obtained
28,following
29,require
30,and
31,or
32,induced
33,widely
34,understand
35,respectively
36,evaluate
37,reviewed
38,provides
39,provide
40,highlight
41,determined
42,overall
43,requires
44,currentknowledge
45,patient
46,patients
47,presented
48,items
49,display
50,relevant
51,health
52,bring
53,highlighting
54,analyse
55,analyses
56,analyze
57,analyzes
58,demonstrate
59,demonstrates
60,occurs
61,study
62,show
63,shows
64,showed
65,approximately
66,determine
67,suggests
68,suggested
69,suggest
70,method
71,methods
72,tool
73,tools
74,01
75,02
76,03
77,04
78,05
79,10
80,11
81,12
82,13
83,14
84,15
85,16
86,17
87,18
88,1β
89,20
90,21
91,22
92,23
93,24
94,25
95,26
96,27
97,28
98,29
99,2b
100,2d
101,30
102,31
103,32
104,33
105,34
106,35
107,36
108,37
109,38
110,3d
111,40
112,45
113,48
114,50
115,60
116,65
117,68
118,70
119,80
120,90
121,99
122,aa
123,ab
124,ac
125,ad
126,af
127,ag
128,ai
129,al
130,ar
131,bc
132,bp
133,cd
134,cf
135,cm
136,co
137,cp
138,cq
139,cs
140,ct
141,cv
142,dc
143,de
144,dl
145,dm
146,ed
147,eg
148,em
149,en
150,er
151,et
152,eu
153,ex
154,fc
155,ga
156,gi
157,gp
158,gt
159,ha
160,hd
161,hf
162,hg
163,hr
164,hs
165,i2
166,ic
167,id
168,ie
169,ii
170,il
171,in
172,ip
173,ir
174,iv
175,kd
176,kg
177,l1
178,la
179,lc
180,lt
181,m2
182,md
183,mg
184,ml
185,mm
186,mr
187,ms
188,mv
189,na
190,nf
191,ng
192,nk
193,nm
194,np
195,ns
196,nt
197,oh
198,os
199,pa
200,pc
201,pd
202,pe
203,pg
204,ph
205,pi
206,pm
207,pp
208,pr
209,ps
210,r0
211,ra
212,rr
213,rt
214,rv
215,s1
216,s2
217,sd
218,se
219,si
220,sp
221,st
222,t1
223,tb
224,tc
225,th
226,uk
227,uv
228,vs
229,wt
230,µg
231,µm
232,κb
233,μg
234,μm
235,covid
236,19
237,patients
238,sars
239,disease
240,study
241,cov
242,results
243,health
244,pandemic
245,infection
246,data
247,coronavirus
248,clinical
249,virus
250,risk
251,methods
252,care
253,respiratory
254,cases
255,based
256,treatment
257,associated
258,time
259,severe
260,analysis
261,high
262,viral
263,use
264,studies
265,group
266,acute
267,compared
268,model
269,cells
270,patient
271,new
272,related
273,human
274,significant
275,including
276,ci
277,different
278,higher
279,positive
280,control
281,background
282,protein
283,hospital
284,mortality
285,covid-19
286,covid
287,19
288,cov
289,cov2
290,cov-2
291,sars
292,ml
293,sars
294,sars-cov-2
295,methods
296,background
297,objective
